Id_sensora,Id_stacji,longitude,latitude,parametr,wartosc,data_pomiaru
29556,17758,20.891593,51.115842,PM2.5,29.3,2024-01-05_17:00:00
5770,877,20.486075,53.789233,SO2,9.03661,2024-01-05_17:00:00
5766,877,20.486075,53.789233,PM10,10.9305,2024-01-05_17:00:00
5768,877,20.486075,53.789233,PM2.5,8.92865,2024-01-05_17:00:00
5686,861,19.410942,54.167847,SO2,9.38921,2024-01-05_17:00:00
5683,861,19.410942,54.167847,PM10,22.0794,2024-01-05_17:00:00
20691,861,19.410942,54.167847,PM2.5,21.4958,2024-01-05_17:00:00
2774,401,19.949189,50.010575,SO2,4.89043,2024-01-05_16:00:00
2770,401,19.949189,50.010575,PM10,20.4155,2024-01-05_15:00:00
2797,402,20.053492,50.069308,SO2,1.89588,2024-01-05_16:00:00
2792,402,20.053492,50.069308,PM10,17.6765,2024-01-05_16:00:00
2794,402,20.053492,50.069308,PM2.5,14.8287,2024-01-05_16:00:00
3073,444,21.004167,50.020169,SO2,13.2693,2024-01-05_16:00:00
3070,444,21.004167,50.020169,PM10,19.822,2024-01-05_15:00:00
2944,426,20.714403,49.619281,SO2,12.4717,2024-01-05_16:00:00
2941,426,20.714403,49.619281,PM10,50.7985,2024-01-05_15:00:00
14751,9175,21.498606,49.511297,SO2,13.1899,2024-01-05_17:00:00
17265,10438,21.440942,50.299128,SO2,2.80973,2024-01-05_17:00:00
17271,10438,21.440942,50.299128,PM10,37.0057,2024-01-05_17:00:00
17272,10438,21.440942,50.299128,PM2.5,27.8223,2024-01-05_17:00:00
19716,11174,23.216322,53.144122,SO2,15.1,2024-01-05_17:00:00
25908,11174,23.216322,53.144122,PM10,13.4,2024-01-05_17:00:00
25909,11174,23.216322,53.144122,PM2.5,12.2,2024-01-05_17:00:00
4045,612,23.642153,53.215492,SO2,0.6,2024-01-05_17:00:00
19657,612,23.642153,53.215492,PM10,4.7,2024-01-05_17:00:00
19696,612,23.642153,53.215492,PM2.5,4.7,2024-01-05_17:00:00
4082,618,22.054381,53.181394,SO2,3.7,2024-01-05_17:00:00
4079,618,22.054381,53.181394,PM10,101.4,2024-01-05_17:00:00
4707,731,18.657497,54.400833,SO2,4.12049,2024-01-05_16:00:00
4706,731,18.657497,54.400833,PM10,6.77529,2024-01-05_16:00:00
27667,731,18.657497,54.400833,PM2.5,6.48672,2024-01-05_16:00:00
4717,732,18.493331,54.560836,SO2,5.0837,2024-01-05_16:00:00
4715,732,18.493331,54.560836,PM10,13.6156,2024-01-05_16:00:00
27567,732,18.493331,54.560836,PM2.5,13.3444,2024-01-05_16:00:00
4764,736,18.620274,54.380279,SO2,4.08147,2024-01-05_16:00:00
4761,736,18.620274,54.380279,PM10,16.9762,2024-01-05_16:00:00
4762,736,18.620274,54.380279,PM2.5,15.7525,2024-01-05_16:00:00
4848,741,19.032899,54.031247,SO2,1.42461,2024-01-05_17:00:00
4845,741,19.032899,54.031247,PM10,27.0487,2024-01-05_16:00:00
4898,743,18.182972,54.104111,SO2,9.14301,2024-01-05_17:00:00
3026,437,19.830422,49.971047,SO2,5.30454,2024-01-05_16:00:00
